USR00001~ROL01~27/4/25 0:0:0
USR00002~ROL01~30/9/17 0:0:0
USR00003~ROL01~8/8/17 0:0:0
USR00004~ROL01~9/4/18 0:0:0
USR00005~ROL01~9/8/17 0:0:0
USR00006~ROL01~8/4/18 0:0:0
USR00007~ROL01~13/7/18 0:0:0
USR00008~ROL01~31/3/18 0:0:0
USR00009~ROL01~3/9/18 0:0:0
USR00010~ROL01~1/4/18 0:0:0
USR00011~ROL01~29/12/17 0:0:0
USR00012~ROL01~10/7/18 0:0:0
USR00013~ROL01~3/3/18 0:0:0
USR00014~ROL01~13/7/18 0:0:0
USR00015~ROL01~4/3/18 0:0:0
USR00016~ROL01~28/9/17 0:0:0
USR00017~ROL01~9/8/18 0:0:0
USR00018~ROL01~24/8/18 0:0:0
USR00019~ROL01~19/3/18 0:0:0
USR00020~ROL01~12/7/18 0:0:0
USR00021~ROL02~11/12/17 0:0:0
USR00022~ROL03~5/7/17 0:0:0
